dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.4.f.txt,1,45008,100,4,25.0,315.0,315.0,0.0,1,0.12549420000050304,20,14,14,6,4,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.g.txt,0,46007,100,4,27.5,444.0,444.0,0.0,1,0.18795260000024427,20,13,13,7,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.g.txt,1,46008,100,4,27.5,433.0,444.0,2.4774774774774775,0,0.1637495000004492,20,17,17,3,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.h.txt,0,47007,100,4,30.0,516.0,522.0,1.1494252873563218,0,0.21553159999984928,20,4,4,16,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.h.txt,1,47008,100,4,30.0,522.0,522.0,0.0,1,0.2986478000002535,20,3,3,17,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.i.txt,0,48007,100,4,32.5,636.0,636.0,0.0,1,0.2753147000003082,20,16,16,4,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.i.txt,1,48008,100,4,32.5,625.0,636.0,1.729559748427673,0,0.2465861999999106,20,9,9,11,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.j.txt,0,49007,100,4,35.0,702.0,702.0,0.0,1,0.25279329999921174,20,12,12,8,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.j.txt,1,49008,100,4,35.0,669.0,702.0,4.700854700854701,0,0.27111019999938435,20,18,18,2,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.k.txt,0,50007,100,4,37.5,748.0,748.0,0.0,1,0.3063148999999612,20,18,18,2,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.k.txt,1,50008,100,4,37.5,741.0,748.0,0.9358288770053476,0,0.291301499999463,20,19,19,1,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.l.txt,0,51007,100,4,40.0,836.0,836.0,0.0,1,0.33312279999972816,20,5,5,15,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.l.txt,1,51008,100,4,40.0,756.0,836.0,9.569377990430622,0,0.30999900000006164,20,8,8,12,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.m.txt,0,52007,100,4,42.5,846.0,896.0,5.580357142857143,0,0.3339016999998421,20,16,16,4,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.m.txt,1,52008,100,4,42.5,896.0,896.0,0.0,1,0.33960059999935766,20,20,20,0,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.n.txt,0,53007,100,4,45.0,900.0,928.0,3.0172413793103448,0,0.3636122999996587,20,15,15,5,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.n.txt,1,53008,100,4,45.0,928.0,928.0,0.0,1,0.3572101999998267,20,18,18,2,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.o.txt,0,54007,100,4,47.5,972.0,972.0,0.0,1,0.3577248999999938,20,20,20,0,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.o.txt,1,54008,100,4,47.5,972.0,972.0,0.0,1,0.3618239999996149,20,2,2,18,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.p.txt,0,55007,100,4,50.0,936.0,1009.0,7.234886025768088,0,0.3600860000005923,20,17,17,3,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.p.txt,1,55008,100,4,50.0,1009.0,1009.0,0.0,1,0.389362699999765,20,7,7,13,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.q.txt,0,56007,100,4,52.5,1011.0,1051.0,3.8058991436726926,0,0.371054300000651,20,18,18,2,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.q.txt,1,56008,100,4,52.5,1051.0,1051.0,0.0,1,0.3634728000006362,20,15,15,5,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.r.txt,0,57007,100,4,55.0,1126.0,1126.0,0.0,1,0.37755680000009306,20,17,17,3,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.r.txt,1,57008,100,4,55.0,1123.0,1126.0,0.2664298401420959,0,0.3732245999999577,20,19,19,1,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.s.txt,0,58007,100,4,57.5,1091.0,1180.0,7.5423728813559325,0,0.41311880000012025,20,5,5,15,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.s.txt,1,58008,100,4,57.5,1180.0,1180.0,0.0,1,0.3906298000001698,20,13,13,7,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.t.txt,0,59007,100,4,60.0,1256.0,1256.0,0.0,1,0.35990379999930155,20,20,20,0,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.4.t.txt,1,59008,100,4,60.0,1208.0,1256.0,3.821656050955414,0,0.46837460000006104,20,16,16,4,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.a.txt,0,60007,66,2,2.5,0,0.0,0.0,1,0.0039024999996399856,20,0,0,20,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.a.txt,1,60008,66,2,2.5,0,0.0,0.0,1,0.004078899999512942,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.b.txt,0,61007,66,2,5.0,20.0,20.0,0.0,1,0.015971400000125868,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.b.txt,1,61008,66,2,5.0,20.0,20.0,0.0,1,0.01550279999992199,20,0,0,20,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.c.txt,0,62007,66,2,7.5,50.0,50.0,0.0,1,0.02019800000016403,20,9,9,11,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.c.txt,1,62008,66,2,7.5,50.0,50.0,0.0,1,0.01706969999941066,20,9,9,11,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.d.txt,0,63007,66,2,10.0,80.0,80.0,0.0,1,0.025423300000511517,20,1,1,19,3,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.d.txt,1,63008,66,2,10.0,80.0,80.0,0.0,1,0.02363800000057381,20,1,1,19,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.e.txt,0,64007,66,2,12.5,175.0,180.0,2.7777777777777777,0,0.029747600000519014,20,9,9,11,3,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.e.txt,1,64008,66,2,12.5,180.0,180.0,0.0,1,0.03399079999962851,20,0,0,20,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.f.txt,0,65007,66,2,15.0,240.0,240.0,0.0,1,0.031324100000347244,20,8,8,12,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.f.txt,1,65008,66,2,15.0,215.0,240.0,10.416666666666668,0,0.03580890000012005,20,0,0,20,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.g.txt,0,66007,66,2,17.5,320.0,320.0,0.0,1,0.046730800000659656,20,1,1,19,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.g.txt,1,66008,66,2,17.5,320.0,320.0,0.0,1,0.04384519999985059,20,2,2,18,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.h.txt,0,67007,66,2,20.0,385.0,390.0,1.282051282051282,0,0.0495215000000826,20,3,3,17,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.h.txt,1,67008,66,2,20.0,390.0,390.0,0.0,1,0.04978250000021944,20,1,1,19,3,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.i.txt,0,68007,66,2,22.5,455.0,460.0,1.0869565217391304,0,0.05541819999962172,20,8,8,12,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.i.txt,1,68008,66,2,22.5,460.0,460.0,0.0,1,0.05302109999956883,20,5,5,15,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.j.txt,0,69007,66,2,25.0,555.0,555.0,0.0,1,0.060031200000594254,20,10,10,10,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.j.txt,1,69008,66,2,25.0,555.0,555.0,0.0,1,0.06186179999986052,20,5,5,15,2,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.k.txt,0,70007,66,2,27.5,660.0,660.0,0.0,1,0.06676289999995788,20,18,18,2,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.k.txt,1,70008,66,2,27.5,640.0,660.0,3.0303030303030303,0,0.07036200000038662,20,1,1,19,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.l.txt,0,71007,66,2,30.0,750.0,770.0,2.5974025974025974,0,0.0754559999995763,20,15,15,5,0,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.l.txt,1,71008,66,2,30.0,770.0,770.0,0.0,1,0.08390740000049846,20,9,9,11,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.m.txt,0,72007,66,2,32.5,800.0,835.0,4.191616766467066,0,0.09080369999992399,20,4,4,16,5,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.m.txt,1,72008,66,2,32.5,835.0,835.0,0.0,1,0.1022437000001446,20,7,7,13,3,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.n.txt,0,73007,66,2,35.0,900.0,900.0,0.0,1,0.09974790000069333,20,12,12,8,1,1,N/A (ILS),N/A (ILS),ok
chao,p5.2.n.txt,1,73008,66,2,35.0,865.0,900.0,3.888888888888889,0,0.09106599999995524,20,9,9,11,1,1,N/A (ILS),N/A (ILS),ok
