dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.3.s.txt,66,3,2,1155.0,1155.0,1132.5,31.81980515339464,0.11306270000022778,0.11306270000022778,3.5,50.0,1.948051948051948,3.896103896103896
chao,p5.3.t.txt,66,3,2,1255.0,1255.0,1245.0,14.142135623730951,0.11734894999972312,0.11734894999972312,17.5,50.0,0.796812749003984,1.593625498007968
chao,p5.3.u.txt,66,3,2,1335.0,1335.0,1320.0,21.213203435596427,0.12576549999994313,0.12576549999994313,6.0,50.0,1.1235955056179776,2.247191011235955
chao,p5.3.v.txt,66,3,2,1390.0,1390.0,1387.5,3.5355339059327378,0.13321759999962524,0.13321759999962524,9.5,50.0,0.1798561151079137,0.3597122302158274
chao,p5.3.w.txt,66,3,2,1440.0,1440.0,1405.0,49.49747468305833,0.12356440000030489,0.12356440000030489,17.5,50.0,2.430555555555556,4.861111111111112
chao,p5.3.x.txt,66,3,2,1525.0,1525.0,1505.0,28.284271247461902,0.15997874999993655,0.15997874999993655,11.0,50.0,1.3114754098360655,2.622950819672131
chao,p5.3.y.txt,66,3,2,1565.0,1565.0,1560.0,7.0710678118654755,0.12558560000024954,0.12558560000024954,13.5,50.0,0.3194888178913738,0.6389776357827476
chao,p5.3.z.txt,66,3,2,1610.0,1610.0,1597.5,17.67766952966369,0.12394394999955693,0.12394394999955693,5.0,50.0,0.7763975155279503,1.5527950310559007
chao,p5.4.a.txt,66,4,2,0.0,0.0,0.0,0.0,0.009593599999789149,0.009593599999789149,0.0,100.0,0.0,0.0
chao,p5.4.b.txt,66,4,2,0.0,0.0,0.0,0.0,0.0073258000002169865,0.0073258000002169865,0.0,100.0,0.0,0.0
chao,p5.4.c.txt,66,4,2,20.0,20.0,20.0,0.0,0.02438659999961601,0.02438659999961601,0.0,100.0,0.0,0.0
chao,p5.4.d.txt,66,4,2,20.0,20.0,20.0,0.0,0.030218849999982922,0.030218849999982922,0.0,100.0,0.0,0.0
chao,p5.4.e.txt,66,4,2,20.0,20.0,20.0,0.0,0.024075449999600096,0.024075449999600096,0.0,100.0,0.0,0.0
chao,p5.4.f.txt,66,4,2,80.0,80.0,80.0,0.0,0.04088045000025886,0.04088045000025886,0.0,100.0,0.0,0.0
chao,p5.4.g.txt,66,4,2,140.0,140.0,140.0,0.0,0.04486545000008846,0.04486545000008846,0.0,100.0,0.0,0.0
chao,p5.4.h.txt,66,4,2,140.0,140.0,140.0,0.0,0.04901174999986324,0.04901174999986324,0.0,100.0,0.0,0.0
chao,p5.4.i.txt,66,4,2,240.0,240.0,240.0,0.0,0.06374909999976808,0.06374909999976808,10.0,100.0,0.0,0.0
chao,p5.4.j.txt,66,4,2,340.0,340.0,340.0,0.0,0.0772476999995888,0.0772476999995888,2.0,100.0,0.0,0.0
chao,p5.4.k.txt,66,4,2,340.0,340.0,340.0,0.0,0.07209445000034975,0.07209445000034975,0.0,100.0,0.0,0.0
chao,p5.4.l.txt,66,4,2,425.0,425.0,410.0,21.213203435596427,0.07855015000041021,0.07855015000041021,9.0,50.0,3.5294117647058822,7.0588235294117645
chao,p5.4.m.txt,66,4,2,550.0,550.0,515.0,49.49747468305833,0.08710324999992736,0.08710324999992736,6.0,50.0,6.363636363636363,12.727272727272727
chao,p5.4.n.txt,66,4,2,620.0,620.0,610.0,14.142135623730951,0.09441759999981514,0.09441759999981514,5.0,50.0,1.6129032258064515,3.225806451612903
chao,p5.4.o.txt,66,4,2,655.0,655.0,647.5,10.606601717798213,0.13119054999970103,0.13119054999970103,8.5,50.0,1.1450381679389312,2.2900763358778624
chao,p5.4.p.txt,66,4,2,760.0,760.0,760.0,0.0,0.11978089999956865,0.11978089999956865,11.5,100.0,0.0,0.0
chao,p5.4.q.txt,66,4,2,860.0,860.0,845.0,21.213203435596427,0.11738175000027695,0.11738175000027695,16.5,50.0,1.744186046511628,3.488372093023256
chao,p5.4.r.txt,66,4,2,890.0,890.0,880.0,14.142135623730951,0.1138086500004647,0.1138086500004647,6.0,50.0,1.1235955056179776,2.247191011235955
chao,p5.4.s.txt,66,4,2,1005.0,1005.0,1002.5,3.5355339059327378,0.13200855000059164,0.13200855000059164,8.0,50.0,0.24875621890547264,0.4975124378109453
chao,p5.4.t.txt,66,4,2,1095.0,1095.0,1067.5,38.890872965260115,0.1303044500004944,0.1303044500004944,3.0,50.0,2.5114155251141552,5.0228310502283104
chao,p5.4.u.txt,66,4,2,1175.0,1175.0,1170.0,7.0710678118654755,0.13122829999974783,0.13122829999974783,9.0,50.0,0.425531914893617,0.851063829787234
chao,p5.4.v.txt,66,4,2,1285.0,1285.0,1257.5,38.890872965260115,0.13913814999978058,0.13913814999978058,10.5,50.0,2.140077821011673,4.280155642023346
chao,p5.4.w.txt,66,4,2,1375.0,1375.0,1372.5,3.5355339059327378,0.13691919999973834,0.13691919999973834,7.5,50.0,0.18181818181818182,0.36363636363636365
chao,p5.4.x.txt,66,4,2,1390.0,1390.0,1385.0,7.0710678118654755,0.14260765000017273,0.14260765000017273,12.5,50.0,0.3597122302158274,0.7194244604316548
chao,p5.4.y.txt,66,4,2,1485.0,1485.0,1475.0,14.142135623730951,0.12196804999985034,0.12196804999985034,8.0,50.0,0.6734006734006733,1.3468013468013467
chao,p5.4.z.txt,66,4,2,1535.0,1535.0,1510.0,35.35533905932738,0.20735200000035547,0.20735200000035547,9.5,50.0,1.6286644951140066,3.257328990228013
chao,p6.2.a.txt,64,2,2,0.0,0.0,0.0,0.0,0.006008199999996577,0.006008199999996577,0.0,100.0,0.0,0.0
chao,p6.2.b.txt,64,2,2,0.0,0.0,0.0,0.0,0.0062265499996101425,0.0062265499996101425,0.0,100.0,0.0,0.0
chao,p6.2.c.txt,64,2,2,0.0,0.0,0.0,0.0,0.004490049999731127,0.004490049999731127,0.0,100.0,0.0,0.0
chao,p6.2.d.txt,64,2,2,192.0,192.0,192.0,0.0,0.07266639999988911,0.07266639999988911,1.5,100.0,0.0,0.0
chao,p6.2.e.txt,64,2,2,360.0,360.0,360.0,0.0,0.08609959999967032,0.08609959999967032,0.0,100.0,0.0,0.0
chao,p6.2.f.txt,64,2,2,540.0,540.0,516.0,33.94112549695428,0.12099790000002031,0.12099790000002031,3.0,50.0,4.444444444444445,8.88888888888889
chao,p6.2.g.txt,64,2,2,660.0,660.0,642.0,25.45584412271571,0.13768845000004148,0.13768845000004148,6.5,50.0,2.727272727272727,5.454545454545454
chao,p6.2.h.txt,64,2,2,780.0,780.0,756.0,33.94112549695428,0.0914044000001013,0.0914044000001013,13.0,50.0,3.076923076923077,6.153846153846154
chao,p6.2.i.txt,64,2,2,888.0,888.0,888.0,0.0,0.10639485000046989,0.10639485000046989,9.0,100.0,0.0,0.0
chao,p6.2.j.txt,64,2,2,936.0,936.0,933.0,4.242640687119285,0.11838244999989911,0.11838244999989911,17.5,50.0,0.3205128205128205,0.641025641025641
chao,p6.2.k.txt,64,2,2,1032.0,1032.0,1032.0,0.0,0.12006454999982452,0.12006454999982452,11.5,100.0,0.0,0.0
chao,p6.2.l.txt,64,2,2,1104.0,1104.0,1101.0,4.242640687119285,0.11259019999988595,0.11259019999988595,10.5,50.0,0.2717391304347826,0.5434782608695652
chao,p6.2.m.txt,64,2,2,1164.0,1164.0,1152.0,16.97056274847714,0.10818784999992204,0.10818784999992204,4.0,50.0,1.0309278350515463,2.0618556701030926
chao,p6.2.n.txt,64,2,2,1242.0,1242.0,1239.0,4.242640687119285,0.12033429999974032,0.12033429999974032,12.5,50.0,0.24154589371980675,0.4830917874396135
chao,p6.3.a.txt,64,3,2,0.0,0.0,0.0,0.0,0.004635199999938777,0.004635199999938777,0.0,100.0,0.0,0.0
chao,p6.3.b.txt,64,3,2,0.0,0.0,0.0,0.0,0.004621300000053452,0.004621300000053452,0.0,100.0,0.0,0.0
chao,p6.3.c.txt,64,3,2,0.0,0.0,0.0,0.0,0.00459709999995539,0.00459709999995539,0.0,100.0,0.0,0.0
chao,p6.3.d.txt,64,3,2,0.0,0.0,0.0,0.0,0.004659300000184885,0.004659300000184885,0.0,100.0,0.0,0.0
chao,p6.3.e.txt,64,3,2,0.0,0.0,0.0,0.0,0.004744899999877816,0.004744899999877816,0.0,100.0,0.0,0.0
chao,p6.3.f.txt,64,3,2,0.0,0.0,0.0,0.0,0.004651800000374351,0.004651800000374351,0.0,100.0,0.0,0.0
chao,p6.3.g.txt,64,3,2,276.0,276.0,276.0,0.0,0.055698799999845505,0.055698799999845505,3.0,100.0,0.0,0.0
chao,p6.3.h.txt,64,3,2,438.0,438.0,435.0,4.242640687119285,0.0707095500001742,0.0707095500001742,14.5,50.0,0.684931506849315,1.36986301369863
chao,p6.3.i.txt,64,3,2,612.0,612.0,606.0,8.48528137423857,0.09732480000002397,0.09732480000002397,15.5,50.0,0.9803921568627451,1.9607843137254901
chao,p6.3.j.txt,64,3,2,828.0,828.0,792.0,50.91168824543142,0.10865354999987176,0.10865354999987176,8.5,50.0,4.3478260869565215,8.695652173913043
chao,p6.3.k.txt,64,3,2,840.0,840.0,825.0,21.213203435596427,0.11688019999974131,0.11688019999974131,7.0,50.0,1.7857142857142856,3.571428571428571
chao,p6.3.l.txt,64,3,2,996.0,996.0,984.0,16.97056274847714,0.10906924999972034,0.10906924999972034,17.5,50.0,1.2048192771084338,2.4096385542168677
chao,p6.3.m.txt,64,3,2,1056.0,1056.0,1053.0,4.242640687119285,0.11722259999987727,0.11722259999987727,12.5,50.0,0.2840909090909091,0.5681818181818182
chao,p6.3.n.txt,64,3,2,1134.0,1134.0,1131.0,4.242640687119285,0.12120194999988598,0.12120194999988598,10.0,50.0,0.26455026455026454,0.5291005291005291
