dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p6.3.j.txt,0,161007,64,3,20.0,462.0,462.0,0.0,1,0.5619507000010344,2,2,2,0,0,0,2,98560,ok
chao,p6.3.k.txt,0,162007,64,3,21.7,564.0,564.0,0.0,1,2.1752925000000687,8,8,8,0,0,0,8,523328,ok
chao,p6.3.l.txt,0,163007,64,3,23.3,678.0,678.0,0.0,1,2.70309129999805,8,8,8,0,0,0,8,620858,ok
chao,p6.3.m.txt,0,164007,64,3,25.0,726.0,726.0,0.0,1,2.6398083999993105,8,8,8,0,0,0,8,659022,ok
chao,p6.3.n.txt,0,165007,64,3,26.7,780.0,780.0,0.0,1,2.8045758999978716,8,8,8,0,0,0,8,688240,ok
chao,p6.4.a.txt,0,166007,64,4,3.8,0,0.0,0.0,1,0.030507799998304108,1,1,1,0,0,0,1,992,ok
chao,p6.4.b.txt,0,167007,64,4,5.0,0,0.0,0.0,1,0.02366289999918081,1,1,1,0,0,0,1,992,ok
chao,p6.4.c.txt,0,168007,64,4,6.2,0,0.0,0.0,1,0.022850199999083998,1,1,1,0,0,0,1,992,ok
chao,p6.4.d.txt,0,169007,64,4,7.5,0,0.0,0.0,1,0.025067699996725423,1,1,1,0,0,0,1,992,ok
chao,p6.4.e.txt,0,170007,64,4,8.8,0,0.0,0.0,1,0.02334040000278037,1,1,1,0,0,0,1,992,ok
chao,p6.4.f.txt,0,171007,64,4,10.0,0,0.0,0.0,1,0.0236791000024823,1,1,1,0,0,0,1,992,ok
chao,p6.4.g.txt,0,172007,64,4,11.2,0,0.0,0.0,1,0.025357999998959713,1,1,1,0,0,0,1,992,ok
chao,p6.4.h.txt,0,173007,64,4,12.5,0,0.0,0.0,1,0.025028199997905176,1,1,1,0,0,0,1,992,ok
chao,p6.4.i.txt,0,174007,64,4,13.8,0,0.0,0.0,1,0.023465000002033776,1,1,1,0,0,0,1,992,ok
chao,p6.4.j.txt,0,175007,64,4,15.0,288.0,288.0,0.0,1,0.5506619000007049,8,8,8,0,0,0,8,224704,ok
chao,p6.4.k.txt,0,176007,64,4,16.2,372.0,372.0,0.0,1,0.26289149999865913,2,2,2,0,0,0,2,66048,ok
chao,p6.4.l.txt,0,177007,64,4,17.5,462.0,462.0,0.0,1,1.1656193000017083,8,8,8,0,0,0,8,402876,ok
chao,p6.4.m.txt,0,178007,64,4,18.8,528.0,528.0,0.0,1,1.4282333999981347,8,8,8,0,0,0,8,399148,ok
chao,p6.4.n.txt,0,179007,64,4,20.0,540.0,540.0,0.0,1,0.5575606999991578,2,2,2,0,0,0,2,98560,ok
