dataset,instance,score,gap_to_reference_best_percent
vansteenwegen,cmt151b_m3.txt,579.0,0.0
vansteenwegen,cmt151c_m2.txt,385.0,0.0
vansteenwegen,cmt151c_m3.txt,586.0,0.0
vansteenwegen,cmt151c_m4.txt,644.0,0.0
vansteenwegen,cmt200b_m2.txt,375.0,0.0
vansteenwegen,cmt200b_m3.txt,428.0,0.0
vansteenwegen,cmt200b_m4.txt,472.0,0.0
vansteenwegen,cmt200c_m2.txt,375.0,0.0
vansteenwegen,cmt200c_m3.txt,428.0,0.0
vansteenwegen,cmt200c_m4.txt,472.0,0.0
vansteenwegen,eil101b_m3.txt,350.0,0.0
vansteenwegen,eil101c_m2.txt,297.0,0.0
vansteenwegen,eil101c_m3.txt,350.0,0.0
vansteenwegen,gil262_gen1_m3.txt,18.0,0.0
vansteenwegen,gil262_gen1_m4.txt,20.0,0.0
vansteenwegen,gil262_gen2_m2.txt,1153.0,0.0
vansteenwegen,gil262_gen2_m3.txt,1333.0,0.0
vansteenwegen,gil262_gen3_m2.txt,417.0,0.0
vansteenwegen,gil262_gen3_m4.txt,517.0,0.0
vansteenwegen,gil262a_m2.txt,1064.0,0.0
vansteenwegen,gil262a_m4.txt,1345.0,0.0
vansteenwegen,gil262b_m2.txt,1064.0,0.0
vansteenwegen,gil262b_m3.txt,1245.0,0.0
vansteenwegen,gil262b_m4.txt,1408.0,0.0
vansteenwegen,gil262c_m2.txt,1064.0,0.0
vansteenwegen,gil262c_m3.txt,1245.0,0.0
vansteenwegen,gil262c_m4.txt,1408.0,0.0
vansteenwegen,gr229_gen1_m4.txt,20.0,0.0
vansteenwegen,gr229_gen2_m3.txt,1183.0,0.0
vansteenwegen,gr229_gen2_m4.txt,1340.0,0.0
vansteenwegen,gr229_gen3_m3.txt,323.0,0.0
vansteenwegen,gr229_gen3_m4.txt,401.0,0.0
vansteenwegen,kroA150_gen2_m2.txt,1031.0,0.0
vansteenwegen,kroA150_gen3_m3.txt,624.0,0.0
vansteenwegen,kroA200_gen1_m4.txt,20.0,0.0
vansteenwegen,kroB200_gen1_m2.txt,16.0,0.0
vansteenwegen,kroB200_gen2_m2.txt,1105.0,0.0
vansteenwegen,kroB200_gen2_m4.txt,1455.0,0.0
vansteenwegen,kroB200_gen3_m2.txt,447.0,0.0
vansteenwegen,kroB200_gen3_m3.txt,508.0,0.0
vansteenwegen,pr136_gen1_m2.txt,16.0,0.0
vansteenwegen,pr136_gen2_m2.txt,959.0,0.0
vansteenwegen,pr264_gen1_m4.txt,20.0,0.0
vansteenwegen,pr264_gen2_m2.txt,960.0,0.0
vansteenwegen,pr264_gen2_m3.txt,1143.0,0.0
vansteenwegen,pr264_gen2_m4.txt,1297.0,0.0
vansteenwegen,pr264_gen3_m3.txt,396.0,0.0
vansteenwegen,pr299_gen1_m2.txt,16.0,0.0
vansteenwegen,pr299_gen1_m3.txt,18.0,0.0
vansteenwegen,pr299_gen1_m4.txt,20.0,0.0
vansteenwegen,pr299_gen2_m3.txt,1133.0,0.0
vansteenwegen,pr299_gen2_m4.txt,1280.0,0.0
vansteenwegen,pr299_gen3_m2.txt,306.0,0.0
vansteenwegen,pr299_gen3_m3.txt,334.0,0.0
vansteenwegen,pr299_gen3_m4.txt,380.0,0.0
vansteenwegen,rat195_gen2_m2.txt,1008.0,0.0
vansteenwegen,rat195_gen3_m3.txt,442.0,0.0
vansteenwegen,ts225_gen2_m2.txt,944.0,0.0
