dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.2.k.txt,66,2,1,620.0,620.0,620.0,0.0,0.984549099997821,0.984549099997821,2.0,163072.0,100.0,0.0,0.0
chao,p5.2.l.txt,66,2,1,700.0,700.0,700.0,0.0,0.9864975000018603,0.9864975000018603,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.m.txt,66,2,1,800.0,800.0,800.0,0.0,1.0339382999991358,1.0339382999991358,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.n.txt,66,2,1,800.0,800.0,800.0,0.0,1.1098884999992151,1.1098884999992151,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.o.txt,66,2,1,800.0,800.0,800.0,0.0,1.08914459999869,1.08914459999869,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.p.txt,66,2,1,800.0,800.0,800.0,0.0,1.033961699999054,1.033961699999054,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.q.txt,66,2,1,800.0,800.0,800.0,0.0,1.1364353000026313,1.1364353000026313,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.r.txt,66,2,1,800.0,800.0,800.0,0.0,1.1168795999983558,1.1168795999983558,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.s.txt,66,2,1,800.0,800.0,800.0,0.0,1.090454100001807,1.090454100001807,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.t.txt,66,2,1,800.0,800.0,800.0,0.0,1.0990242000007129,1.0990242000007129,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.u.txt,66,2,1,800.0,800.0,800.0,0.0,1.0566471000020101,1.0566471000020101,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.v.txt,66,2,1,800.0,800.0,800.0,0.0,1.0615327999985311,1.0615327999985311,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.w.txt,66,2,1,800.0,800.0,800.0,0.0,1.0776635000001988,1.0776635000001988,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.x.txt,66,2,1,800.0,800.0,800.0,0.0,1.0534726999976556,1.0534726999976556,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.y.txt,66,2,1,800.0,800.0,800.0,0.0,1.0632444000002579,1.0632444000002579,2.0,185920.0,100.0,0.0,0.0
chao,p5.2.z.txt,66,2,1,800.0,800.0,800.0,0.0,1.0858731000007538,1.0858731000007538,2.0,185920.0,100.0,0.0,0.0
chao,p5.3.a.txt,66,3,1,0.0,0.0,0.0,0.0,0.030412599997362122,0.030412599997362122,1.0,1024.0,100.0,0.0,0.0
chao,p5.3.b.txt,66,3,1,15.0,15.0,15.0,0.0,0.0553775999978825,0.0553775999978825,1.0,3040.0,100.0,0.0,0.0
chao,p5.3.c.txt,66,3,1,20.0,20.0,20.0,0.0,0.060553399998752866,0.060553399998752866,1.0,960.0,100.0,0.0,0.0
chao,p5.3.d.txt,66,3,1,60.0,60.0,60.0,0.0,0.06779620000088471,0.06779620000088471,1.0,6016.0,100.0,0.0,0.0
chao,p5.3.e.txt,66,3,1,85.0,85.0,85.0,0.0,0.11774879999939003,0.11774879999939003,2.0,19840.0,100.0,0.0,0.0
chao,p5.3.f.txt,66,3,1,110.0,110.0,110.0,0.0,0.2836481999984244,0.2836481999984244,5.0,54752.0,100.0,0.0,0.0
chao,p5.3.g.txt,66,3,1,160.0,160.0,160.0,0.0,0.28222859999732464,0.28222859999732464,3.0,41360.0,100.0,0.0,0.0
